Alabama,Republican
Alaska,Republican
Arizona,Competitive 
Arkansas,Republican
California,Democratic 
Colorado,Democratic 
Connecticut ,Democratic 
District of Columbia,Democratic 
Delaware,Democratic 
Florida,Competitive 
Georgia,Competitive 
Hawaii,Democratic 
Idaho,Republican
Illinois,Democratic 
Indiana,Republican
Iowa,Competitive 
Kansas,Republican
Kentucky,Competitive 
Louisiana,Republican
Maine,Democratic 
Maryland,Democratic 
Massachusetts ,Democratic 
Michigan,Democratic 
Minnesota,Democratic 
Mississippi,Republican
Missouri,Republican
Montana,Republican
Nebraska,Competitive 
Nevada,Democratic 
New Hampshire,Democratic 
New Jersey,Democratic 
New Mexico,Democratic 
New York,Democratic 
North Carolina,Competitive 
North Dakota,Republican
Ohio,Competitive 
Oklahoma,Republican
Oregon,Democratic 
Pennsylvania ,Democratic 
Rhode Island,Democratic 
South Carolina,Republican
South Dakota,Republican
Tennessee ,Republican
Texas,Competitive 
Utah,Republican
Vermont,Democratic 
Virginia,Democratic 
Washington,Democratic 
West Virginia,Competitive 
Wisconsin,Competitive 
Wyoming ,Republican
